theme_id,theme_label,theme_family,primary_size,total_size,secondary_additions,cohesion_primary,cohesion_with_secondary,dominant_sector,dominant_industry,sample_symbols
UNCLASSIFIED::B::A::B,Cross-Sector · Group 1,Cross-Sector,14,15,1,0.2809,0.2821,,,"AFCONS, BBOX, CARRARO, CEIGALL, DYNAMATECH, E2E, FIRSTCRY, KINGFA"
IND::Internet Software & Services,Internet Software & Services,Internet Software & Services,15,15,0,0.0315,0.0315,Communication Services,Internet Software & Services,"AADHARHFC, AFFLE, INDIAMART, INDUSTOWER, JUSTDIAL, MAPMYINDIA, MPSLTD, NAUKRI"
IND::Auto Parts & Equipment::B::A,Auto Parts & Equipment · Group 1,Auto Parts & Equipment,14,14,0,0.1463,0.1463,Consumer Cyclical,Auto Parts & Equipment,"ASAHIINDIA, BOSCHLTD, ENDURANCE, FIEMIND, LUMAXTECH, MOTHERSON, ROLEXRINGS, SANSERA"
IND::Banks::B::B,Banks · Group 1,Banks,14,14,0,0.3432,0.3432,Financial Services,Banks,"BANKBARODA, BANKINDIA, CANBK, CUB, IDBI, IDEA, INDIANB, J&KBANK"
IND::Breweries & Distilleries,Breweries & Distilleries,Breweries & Distilleries,14,14,0,0.1412,0.1412,Consumer Defensive,Breweries & Distilleries,"ABDL, BALRAMCHIN, CCL, GLOBUSSPR, GODREJAGRO, LTFOODS, NIITMTS, RADICO"
UNCLASSIFIED::B::A::B::NoRank::1,Cross-Sector (no Rank) · Group 1,Cross-Sector (no Rank),14,14,0,,,,,"AEQUS, BHARATCOAL, CAPILLARY, CRAMC, EUROPRATIK, JAINREC, LENSKART, MBEL"
UNCLASSIFIED::B::A::B::NoRank::2,Cross-Sector (no Rank) · Group 2,Cross-Sector (no Rank),14,14,0,,,,,"AMAGI, BUILDPRO, CORONA, EMMVEE, GROWW, JSWCEMENT, LGEINDIA, MEESHO"
UNCLASSIFIED::B::A::B::NoRank::3,Cross-Sector (no Rank) · Group 3,Cross-Sector (no Rank),14,14,0,,,,,"ATLANTAELE, CANHLIFE, CPPLUS, EPACKPEB, ICICIAMC, KSHINTL, LOTUSDEV, MIDWESTLTD"
IND::Healthcare Facilities,Healthcare Facilities,Healthcare Facilities,14,14,0,0.0856,0.0856,Healthcare,Healthcare Facilities,"APOLLOHOSP, ARTEMISMED, ASTERDM, FORTIS, HCG, JLHL, KIMS, MAXHEALTH"
IND::Iron & Steel/Interm.Products,Iron & Steel / Interm.products,Iron & Steel / Interm.products,14,14,0,0.0715,0.0715,Basic Materials,Iron & Steel/Interm.Products,"GPIL, IMFA, JINDALSTEL, JSL, JSWSTEEL, KIRLFER, KSL, MAHSEAMLES"
IND::Other Financial Services,Other Financial Services,Other Financial Services,14,14,0,0.0789,0.0789,Financial Services,Other Financial Services,"360ONE, ANANDRATHI, BELRISE, CARERATING, CMSINFO, CRISIL, EDELWEISS, ICRA"
IND::Pharmaceuticals::B::B,Pharmaceuticals · Group 1,Pharmaceuticals,14,14,0,0.148,0.148,Healthcare,Pharmaceuticals,"ABBOTINDIA, ANUP, ASTRAZEN, GLAND, GLAXO, GUFICBIO, IPCALAB, JBCHEPHARM"
IND::Specialty Chemicals::A,Specialty Chemicals · Group 1,Specialty Chemicals,14,14,0,0.0959,0.0959,Basic Materials,Specialty Chemicals,"AARTIIND, AETHER, ATUL, BASF, CLEAN, FLUOROCHEM, JUBLINGREA, PIDILITIND"
IND::Cement & Cement Products,Cement & Cement Products,Cement & Cement Products,13,13,0,0.1137,0.1137,Basic Materials,Cement & Cement Products,"ACC, AMBUJACEM, BIRLACORPN, DALBHARAT, GRASIM, INDIACEM, JKCEMENT, JKLAKSHMI"
UNCLASSIFIED::A::A,Cross-Sector · Group 2,Cross-Sector,13,13,0,0.3183,0.3183,,,"AFCONS, AGARWALEYE, AIIL, ASHAPURMIN, GALLANTT, IKS, KRN, PENIND"
IND::Personal Products,Personal Products,Personal Products,13,13,0,0.2037,0.2037,Consumer Defensive,Personal Products,"BAJAJCON, COLPAL, DABUR, EMAMILTD, GILLETTE, GODREJCP, HINDUNILVR, HONASA"
IND::Pharmaceuticals::B::A::B::B,Pharmaceuticals · Group 2,Pharmaceuticals,13,13,0,0.2383,0.2383,Healthcare,Pharmaceuticals,"AJANTPHARM, ALKEM, AUROPHARMA, DRREDDY, GLENMARK, GRANULES, LUPIN, ORCHPHARMA"
IND::Realty::B,Realty · Group 1,Realty,13,13,0,0.2753,0.2753,Real Estate,Realty,"ABREL, ANANTRAJ, BRIGADE, DLF, GODREJPROP, LODHA, MAXESTATES, OBEROIRLTY"
IND::Banks::A,Banks · Group 2,Banks,12,12,0,0.289,0.289,Financial Services,Banks,"AUBANK, CSBBANK, DCBBANK, EQUITASBNK, FEDERALBNK, HDFCBANK, ICICIBANK, IDFCFIRSTB"
IND::Consumer Electronics,Consumer Electronics,Consumer Electronics,12,12,0,0.0977,0.0977,Consumer Cyclical,Consumer Electronics,"AMBER, BLUESTARCO, CDSL, DIXON, EMIL, MAHSCOOTER, ORIENTELEC, PGEL"
UNCLASSIFIED::B::B::A::B::B,Cross-Sector · Group 3,Cross-Sector,12,12,0,,,,,"ABLBL, ANTHEM, BRIGHOTEL, CRIZAC, EBGNG, ELLEN, ENRIN, HDBFS"
IND::Electric Utilities::A,Electric Utilities · Group 1,Electric Utilities,12,12,0,0.2644,0.2644,Utilities,Electric Utilities,"ADANIENSOL, ADANIGREEN, ADANIPOWER, CESC, JSWENERGY, NHPC, NLCINDIA, NTPC"
IND::Other Electrical Equipment/Products::B,Other Electrical Equipment / Products · Group 1,Other Electrical Equipment / Products,12,12,0,0.1715,0.1715,Industrials,Other Electrical Equipment/Products,"BBL, FINCABLES, GRAVITA, HAVELLS, HONAUT, KAYNES, KEI, PITTIENG"
IND::Other Industrial Products,Other Industrial Products,Other Industrial Products,12,12,0,0.1465,0.1465,Industrials,Other Industrial Products,"BHARATFORG, CARBORUNIV, GRINDWELL, HAPPYFORGE, INOXINDIA, JINDALSAW, KENNAMET, MMFL"
IND::Agrochemicals,Agrochemicals,Agrochemicals,11,11,0,0.1317,0.1317,Basic Materials,Agrochemicals,"ANURAS, BAYERCROP, DHANUKA, EPIGRAL, PIIND, RAIN, RALLIS, SHARDACROP"
IND::Auto Parts & Equipment::B::B::A,Auto Parts & Equipment · Group 2,Auto Parts & Equipment,11,11,0,0.2311,0.2311,Consumer Cyclical,Auto Parts & Equipment,"CIEINDIA, JAMNAAUTO, JTEKTINDIA, LGBBROSLTD, LUMAXIND, MINDACORP, MSUMI, PRICOLLTD"
IND::Furniture-Furnishing-Paints,Furniture-Furnishing-Paints,Furniture-Furnishing-Paints,11,11,0,0.0473,0.0473,Basic Materials,Furniture-Furnishing-Paints,"AGI, AKZOINDIA, ASIANPAINT, BERGEPAINT, CERA, GREENLAM, INDIGOPNTS, KAJARIACER"
IND::Housing Finance,Housing Finance,Housing Finance,10,10,0,0.1719,0.1719,Financial Services,Housing Finance,"AAVAS, APTUS, CANFINHOME, HOMEFIRST, HUDCO, INDIASHLTR, LICHSGFIN, LTF"
IND::IT Consulting & Software::B::B::A::B,IT Consulting & Software · Group 1,IT Consulting & Software,10,10,0,0.2838,0.2838,Technology,IT Consulting & Software,"ANGELONE, CIGNITITEC, COFORGE, HCLTECH, LTIM, LTTS, MASTEK, MPHASIS"
IND::Industrial Machinery::A,Industrial Machinery · Group 1,Industrial Machinery,10,10,0,0.0752,0.0752,Industrials,Industrial Machinery,"3MINDIA, DOMS, FLAIR, GMMPFAUDLR, GODREJIND, ISGEC, KIRLOSBROS, SHRIPISTON"
IND::Pharmaceuticals::B::A::B::A,Pharmaceuticals · Group 3,Pharmaceuticals,10,10,0,0.1971,0.1971,Healthcare,Pharmaceuticals,"AARTIDRUGS, AARTIPHARM, BLUEJET, DIVISLAB, ERIS, FDC, HIKAL, LAURUSLABS"
IND::Auto Parts & Equipment::B::B::B,Auto Parts & Equipment · Group 3,Auto Parts & Equipment,9,9,0,0.2154,0.2154,Consumer Cyclical,Auto Parts & Equipment,"ARE&M, AUTOAXLES, CRAFTSMAN, DIVGIITTS, EXIDEIND, GABRIEL, SCHAEFFLER, SUBROS"
IND::Construction & Engineering,Construction & Engineering,Construction & Engineering,9,9,0,0.0795,0.0795,Industrials,Construction & Engineering,"AHLUCONT, HGINFRA, KNRCON, LT, NBCC, NCC, POWERMECH, PSPPROJECT"
UNCLASSIFIED::A::B,Cross-Sector · Group 4,Cross-Sector,9,9,0,0.2701,0.2701,,,"AWL, BAJAJHFL, GMRAIRPORT, MUTHOOTMF, NORTHARC, PATELENG, PFOCUS, SPICEJET"
UNCLASSIFIED::B::B::A::A::B,Cross-Sector · Group 5,Cross-Sector,9,9,0,0.1737,0.1737,,,"EPACK, FOSECOIND, IIFLCAPS, INTERARCH, ITCHOTELS, KRBL, SKYGOLD, SMSPHARMA"
